상세링크,이름,공고번호,해시태그,현 상황,임보종류,구조 지역,성별,중성화 여부,출생시기,몸무게,SNS,임보조건_지역,임보조건_임보 기간,임보조건_픽업,임보조건_기타 조건,이런_집도_가능해요,건강정보_접종 현황,건강정보_검사 현황,건강정보_병력 사항,건강정보_기타 사항,참고용정보_배변,참고용정보_산책,참고용정보_짖음,참고용정보_분리불안,참고용정보_털빠짐,참고용정보_스킨십,참고용정보_대인,참고용정보_대견,참고용정보_외동,참고용정보_대묘,책임자_제공_사항
https://www.pimfyvirus.com/search/01_v/2606/,은콩,공고번호 : 2025-01-1028,"# 애교쟁이, # 사람좋아, # 조용조용, # 순둥이",임보가능,단기임보,인천,여,중성화 완,2022년 추정,5kg,,전국,3 개월,방문 필수,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","25.04.15-1차접종(종합/코로나)
25.04.29-2차접종(종합/켄넬/광견)
25.05.13-3차접종(종합)","25.04.01 - 코로나,파보,사상충 키트검사 모두 음성",,,2,4,2,2,2,5,4,2,1,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2605/,양갱,공고번호 : 2025-01-1027,"# 친구좋아, # 소심소심, # 조용조용, # 시크도도",임보가능,단기임보,인천,남,중성화 완,2020년 추정,4kg,,전국,3 개월,방문 필수,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","24.11.12 - 1차접종 (종합/코로나)
24.11.26 - 2차접종 (종합/켄넬)
24.12.11 - 3차접종 종합/광견)","24.10.23 - 사상충, 지알디아, 파보, 코로나 음성
25.02.19 사상충 키트 재검(음성)",,,1,3,1,1,4,2,3,5,3,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2604/,팥지,공고번호 : 2025-01-1026,"# 애교쟁이, # 사람좋아, # 호기심천국, # 꾸러기, # 에너자이저",임보가능,단기임보,인천,여,중성화 완,2024년 추정,6kg,,전국,3 개월,방문 필수,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","24.10.02 - 1차접종 (종합/코로나)
24.10.15- 2차접종 (종합/코로나)
24.10.30 - 3차접종 (종합/켄넬/광견)
24.11.13 - 4차접종 (켄넬)",25.04.17 - 홍역/파보/코로나 음성,,,3,4,1,1,4,5,5,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2603/,두유,공고번호 : 2025-01-1025,"# 애교쟁이, # 사람좋아, # 친구좋아, # 순둥이, # 산책최고",임보가능,입양전제,충남 홍성군 (홍성보호소(금일동물보호소)),남,중성화 완,2024년 11월,8kg,링크 바로가기링크 바로가기,"전국,서울,경기,강원도,충청도,전라도,경상도",6 개월,방문 필수,평생 사랑으로 함께할 가족을 기다리는 중이에요!,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플","2025.3/22 - 종합백신 1차, 코로나 1차, 광견병 1차
2025.4/5 - 종합백신 2차, 코로나 2차, 캔넬코프 1차
2025.4/16 - 종합백신 3차, 캔넬코트 2차, 광견병 2차
2025.5/3 - 종합백신 5가, 인플루엔자 1
2025.5/17 - 종합백신 4차, 인플루엔자 2차","2025.3/22 - 체중: 5kg, 파보 및 코로나 키트 음성
2025.4/10 -지알디아 키트 음성, 칩 삽입",,,5,4,3,2,3,5,5,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2602/,오래,공고번호 : 2025-01-1024,"# 애교쟁이, # 소심소심, # 먹는거최고, # 산책최고",임보가능,일반임보,공주,여,중성화 완,2023년 09월,4kg,링크 바로가기,전국,5 개월 이상,지원 가능,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정",접종완료,검사 완료,,,5,5,2,1,4,5,1,3,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 일반 병원비(임보 중 발생하게 된 가벼운 질환 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2601/,주디,공고번호 : 2025-01-1023,"# 사람좋아, # 친구좋아, # 조용조용, # 순둥이, # 산책최고",임보가능,일반임보,공주,남,중성화 완,2022년 추정,14kg,링크 바로가기링크 바로가기,전국,3 개월 이상,지원 가능,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정",연차접종 완료,검사완료,,스케일링 완료,5,5,1,1,4,4,4,4,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 일반 병원비(임보 중 발생하게 된 가벼운 질환 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2600/,도로시_애플,공고번호 : 2025-01-1022,"# 애교쟁이, # 사람좋아, # 조용조용, # 시크도도, # 순둥이",임보가능,입양전제,함평 번식장에서 구조,여,중성화 완,2021년 추정,3kg,,전국,3 개월,지원 가능,,"원룸, 1인 가구, 동거 커플","중성화 완료

접종 완료

전발치 후 부드러운 음식 위주 급여 필요",,,"왼쪽 뒷다리: 발가락 없음, 발바닥 패드만 존재

오른쪽 뒷다리: 발가락 2개만 있음
→ 일상 생활, 걷기, 뛰기 모두 가능",4,4,2,1,2,4,5,3,1,5,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2599/,도로시_순이,공고번호 : 2025-01-1021,"# 애교쟁이, # 사람좋아, # 호기심천국, # 먹는거최고, # 산책최고",임보가능,입양전제,부산 불법 번식장에서 구조,여,중성화 완,2014년 추정,3kg,,전국,3 개월,지원 가능,,"원룸, 1인 가구, 동거 커플","중성화 완료

접종 완료

유선종양 수술 예정

전발치 (치아 없음)",,,,4,5,1,1,2,5,5,3,1,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2598/,도로시_감자,공고번호 : 2025-01-1020,"# 친구좋아, # 조용조용, # 호기심천국, # 순둥이, # 에너자이저",임보가능,입양전제,밀양 보호소에서 구조됨,여,중성화 완,2023년 추정,13kg,,전국,3 개월,지원 가능,,"원룸, 1인 가구, 동거 커플",,,,,3,3,1,1,3,3,3,5,3,3,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2597/,도로시_현호,공고번호 : 2025-01-1019,"# 애교쟁이, # 사람좋아, # 호기심천국, # 에너자이저",임보가능,일반임보,"2025년 4월, 도로시 보호소에서 구조견 ‘현아’에게서 태어남",남,중성화 전,2025년 04월,3kg,,전국,3 개월,지원 가능,,"원룸, 1인 가구, 동거 커플",,,,,,,,,,,,,,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2596/,도로시_현서,공고번호 : 2025-01-1018,"# 호기심천국, # 순둥이, # 에너자이저",임보가능,일반임보,"2025년 4월, 도로시 보호소에서 구조견 ‘현아’에게서 태어남",남,중성화 전,2025년 04월,3kg,,전국,3 개월,지원 가능,,"원룸, 1인 가구, 동거 커플",,,,,,,,,,,,,,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2595/,도로시_현동,공고번호 : 2025-01-1017,"# 애교쟁이, # 사람좋아, # 친구좋아, # 호기심천국, # 꾸러기",임보가능,일반임보,"25년 4월, 구조견 엄마로부터 보호소에서 태어남 (도로시 센터 내 출산)",남,중성화 전,2025년 04월,3kg,,전국,3 개월,지원 가능,,"원룸, 1인 가구, 동거 커플",,,,,,,,,,,,,,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2594/,해리,공고번호 : 2025-01-1016,"# 사람좋아, # 시크도도, # 장난감최고",임보가능,일반임보,천안,남,중성화 완,2016년 추정,5kg,링크 바로가기,"서울,경기,충청도",6 개월 이상,지원 가능,"남성분 1인가구 불가, 어린 자녀가 있는집 불가, 다견 가족 불가, 단독 희망","원룸, 1인 가구","2025년 1월 모든 건강 검진 , 접종 완료,",2025년 1월 코로나/ 심장사상충 음성,,,4,3,2,3,4,3,2,1,1,1,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2593/,호두,공고번호 : 2025-01-1015,"# 애교쟁이, # 사람좋아, # 호기심천국, # 먹는거최고, # 에너자이저",임보가능,일반임보,부산,남,중성화 전,2025년 02월,6kg,링크 바로가기,전국,3개월이상 개월,지원 가능,다가능 하지만 월세거나 전세일 경우 집주인 허락 필수,"원룸, 1인 가구, 동거 커플, 영유아 가정",2차 접종 까지는 완료,코로나 파보 지알 검사 완료,없음,,3,4,3,1,5,5,5,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2592/,누리,공고번호 : 2025-01-1014,"# 사람좋아, # 친구좋아, # 시크도도, # 순둥이, # 산책최고",임보가능,입양전제,경북 경산,여,중성화 완,2024년 05월,9kg,링크 바로가기,전국,3 개월 이상,지원 가능,자세한 내용은 신청자분과 통화로 알려드리겠습니다^^,,"2024.08.31 1차 접종
2024.09.14 2차 접종
2024.09.28 3차 접종
2024.10.12 4차 접종
2024.10.26 5차 접종","2024.07.10 파보, 코로나, 홍역, 지알디아, 사상충 검사 음성",없음,,4,5,2,1,2,5,4,4,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2591/,하니,공고번호 : 2025-01-1013,"# 소심소심, # 조용조용, # 똑똑이, # 먹는거최고, # 얼굴천재",임보가능,일반임보,경남 김해,여,중성화 전,2025년 11월,7kg,링크 바로가기,전국,3 개월 이상,지원 가능,바니가 사람과 잘 살아갈수 있도록 도와주세요,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플",종합백신.광견병.코로나.,건강 양호,없음,중성화 예정입니다.,1,1,5,5,1,2,2,2,3,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2590/,안빌리버블 3형제,공고번호 : 2025-01-1012,"# 사람좋아, # 친구좋아, # 호기심천국, # 꾸러기, # 얼굴천재",임보가능,긴급임보,충남 보령,남,중성화 전,2025년 04월,3kg,링크 바로가기,전국,12 개월 이상,지원 가능,문의 주실 때 간단한 자기소개 부탁드립니다.,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정",,,,,,,,,,,,,,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2589/,네발친_살구,공고번호 : 2025-01-1011,"# 애교쟁이, # 사람좋아, # 순둥이, # 산책최고, # 장난감최고",임보가능,릴레이임보,경기도 파주,여,중성화 완,2024년 05월,9kg,링크 바로가기링크 바로가기,전국,2 개월,지원 가능,,반려동물 무경험자,"2024.09.27 1차 접종 완료
2024.10.10 2차 접종 완료
2024.10.24 3차 접종 완료",,,,4,5,2,1,3,5,4,5,4,3,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2588/,네발친_흰솜이,공고번호 : 2025-01-1010,"# 애교쟁이, # 사람좋아, # 친구좋아, # 순둥이, # 얼굴천재",임보가능,릴레이임보,경기도 양주,여,중성화 완,2022년 12월,15kg,링크 바로가기링크 바로가기,전국,2 개월,지원 가능,,반려동물 무경험자,"2023.06.23 종합백신, 코로나, 광견병 접종
2023.07.07 종합백신, 인플루엔자, 기관지 접종
2024.07.24 종합백신, 인플루엔자, 기관지 접종",,,,4,4,3,1,3,5,5,4,3,4,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2586/,호떡,공고번호 : 2025-01-1009,"# 사람좋아, # 조용조용, # 호기심천국, # 순둥이, # 먹는거최고",임보가능,단기임보,인천,여,중성화 완,2024년 추정,8kg,,전국,3 개월,방문 필수,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","24.12.10 - 1차접종 (종합/코로나/광견)
24.12.25- 2차접종 (종합/켄넬)
25.01.20 - 3차접종 (종합)","24.12.23 - 지알디아 재검 음성
25.03.31 - 사상충 재검 음성",,,3,3,1,1,4,4,5,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2584/,봉수,공고번호 : 2025-01-1008,"# 사람좋아, # 친구좋아, # 먹는거최고, # 산책최고",임보가능,일반임보,평택,남,중성화 완,2020년 추정,4kg,,"서울,경기,충청도",6 개월 이상,지원 가능,,"원룸, 1인 가구",접종다함,모든검사음성.,앞다리골절되서 수술후 완치됨,,4,4,2,4,2,4,4,4,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2583/,어독스 퍼지,공고번호 : 2025-01-1007,"# 애교쟁이, # 사람좋아, # 친구좋아, # 꾸러기, # 에너자이저",임보가능,일반임보,전북 김제시보호소,여,중성화 완,2003년 04월,12kg,,"서울,경기,강원도,충청도,전라도,경상도",3 개월,지원 가능,"화상인터뷰 참여 필수이며 가족 구성원 모두 확실한 동의 필요, 자녀가 있을 경우 만 10세 이상부터 가능합니다.","원룸, 1인 가구, 반려동물 무경험자, 동거 커플","2025-04-26 종1 코1 광
2025-05-12 종2 코2 켄1
2025-05-29 종3 켄2 인1","2025-04-24 심장사상충 음성
2025-04-24 3종키트 음성
2025-04-24 아나플라즈마 양성",,,4,2,4,2,3,5,5,3,4,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 일반 병원비(임보 중 발생하게 된 가벼운 질환 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2581/,어독스 선호,공고번호 : 2025-01-1005,"# 애교쟁이, # 사람좋아, # 조용조용, # 먹는거최고, # 얼굴천재",임보가능,일반임보,전북 김제시보호소,남,중성화 완,2021년 04월,13kg,,"서울,경기,강원도,충청도,전라도,경상도",3 개월,지원 가능,"화상인터뷰 참여 필수이며 가족 구성원 모두 확실한 동의 필요, 자녀가 있을 경우 만 10세 이상부터 가능합니다.","원룸, 1인 가구, 반려동물 무경험자, 동거 커플","2025-04-24 종1 코1 광
2025-05-28 종2 코2","2025-04-24 심장사상충 양성
2025-04-24 아나플라즈마 양성","2025-04-24 심장사상충,아나플라즈마 약 치료중",,5,2,3,3,4,5,5,3,3,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 일반 병원비(임보 중 발생하게 된 가벼운 질환 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2580/,어독스 로얄,공고번호 : 2025-01-1004,"# 애교쟁이, # 친구좋아, # 호기심천국, # 꾸러기, # 에너자이저",임보가능,일반임보,전북 김제시,남,중성화 완,2024년 05월,7kg,,"서울,경기,강원도,충청도,전라도",3 개월,지원 가능,"화상인터뷰 참여 필수이며 가족 구성원 모두 확실한 동의 필요, 자녀가 있을 경우 만 10세 이상부터 가능합니다.","원룸, 1인 가구, 반려동물 무경험자, 동거 커플","2025-05-12 종1 코1 광
2025-05-28 종2 코2",2025-05-06 심장사상충 음성,,,2,2,3,2,4,5,5,2,2,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 일반 병원비(임보 중 발생하게 된 가벼운 질환 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2579/,어독스 선남,공고번호 : 2025-01-1003,"# 애교쟁이, # 사람좋아, # 꾸러기, # 순둥이, # 먹는거최고",임보가능,일반임보,전북 김제시보호소,남,중성화 완,2022년 05월,15kg,,"서울,경기,강원도,충청도,전라도,경상도",3 개월,지원 가능,"화상인터뷰 참여 필수이며 가족 구성원 모두 확실한 동의 필요, 자녀가 있을 경우 만 10세 이상부터 가능합니다.","원룸, 1인 가구, 반려동물 무경험자, 동거 커플",2025-05-20 종1 코1,"2025-05-07 심장사상충 양성
2025-05-07 에를리키아,아나플라즈마,라임병 키트 양성","2025-05-07 심장사상충 치료중
2025-05-07  에를리키아,아나플라즈마,라임병 내복약 복용중",,4,4,3,2,3,5,5,4,4,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 일반 병원비(임보 중 발생하게 된 가벼운 질환 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2578/,셋이(우유),공고번호 : 2025-01-1002,"# 애교쟁이, # 사람좋아, # 친구좋아, # 순둥이, # 에너자이저",임보가능,단기임보,충남 아산,남,중성화 완,2024년 12월,11kg,링크 바로가기,"서울,경기",2 개월,지원 가능,중형견에 익숙하고 기본 교육을 해주실 수 있는 분. (출퇴근하여 집이 일정 시간 비는 분은 어렵습니다. 혼자 있으면 꽤 불안해합니다),"동거 커플, 영유아 가정",5차 종합 백신 및 광견병 접종 완료,없음,없음,,5,4,4,4,3,5,5,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2577/,쿠키,공고번호 : 2025-01-1001,"# 애교쟁이, # 사람좋아, # 똑똑이, # 순둥이, # 산책최고",임보가능,일반임보,충남 천안,남,중성화 완,2021년 추정,13kg,,전국,1 개월 이상,지원 가능,산책이 가능하면 좋겠습니다.,"1인 가구, 동거 커플, 영유아 가정",접종완료,키트검사완료,심장사상충치료 완료,,,5,3,3,3,5,5,5,5,3,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2576/,크림이,공고번호 : 2025-01-1000,"# 애교쟁이, # 사람좋아, # 친구좋아, # 똑똑이",임보가능,일반임보,충남 천안,남,중성화 완,2024년 07월,4kg,,전국,1 개월 이상,지원 가능,산책이 가능하시면 좋겠습니다.,"원룸, 1인 가구, 동거 커플, 영유아 가정",접종완료,검사완료,없음,,5,5,3,3,3,5,5,5,5,3,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
